SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,470 19th St,Santa Monica,CA,90402,5690000,5,6.0,C14 - Santa Monica,4463,8953,1947,5,1275,,Active,,,http://www.redfin.com/CA/Santa-Monica/470-19th-St-90402/home/6770633,CRMLS,PW20143609,N,Y,34.0386949,-118.4943111
MLS Listing,,Single Family Residential,801 Stanford St,Santa Monica,CA,90403,3749000,2,2.5,C14 - Santa Monica,2246,19991,1939,27,1669,,Active,,,http://www.redfin.com/CA/Santa-Monica/801-Stanford-St-90403/home/6762314,CRMLS,BB20129635,N,Y,34.0445057,-118.4796187
MLS Listing,,Condo/Co-op,1319 11th St #5,Santa Monica,CA,90401,649000,1,1.0,Santa Monica,536,7523,1958,54,1211,334,Active,,,http://www.redfin.com/CA/Santa-Monica/1319-11th-St-90401/unit-5/home/6774034,TheMLS,20-586222,N,Y,34.0229264,-118.4893481
MLS Listing,,Condo/Co-op,848 Lincoln Blvd Unit A,Santa Monica,CA,90403,1299000,2,2.5,Santa Monica,1420,14988,1982,133,915,635,Active,,,http://www.redfin.com/CA/Santa-Monica/848-Lincoln-Blvd-90403/unit-A/home/6780004,TheMLS,20-565224,N,Y,34.0263061,-118.4998716
PAST SALE,July-10-2020,Condo/Co-op,2721 2nd St #212,Santa Monica,CA,90405,669000,1,1.0,Santa Monica,643,26025,1972,19,1040,451,Sold,,,http://www.redfin.com/CA/Santa-Monica/2721-2nd-St-90405/unit-212/home/6777919,TheMLS,20-582852,N,Y,34.0010213,-118.48107
PAST SALE,July-15-2020,Townhouse,1314 17th St #7,Santa Monica,CA,90404,1055000,2,3.0,Santa Monica,1209,37473,1973,14,873,465,Sold,,,http://www.redfin.com/CA/Santa-Monica/1314-17th-St-90404/unit-7/home/6774114,TheMLS,20-582832,N,Y,34.0271804,-118.4843248
MLS Listing,,Single Family Residential,1010 Centinela Ave,Santa Monica,CA,90403,2500000,4,3.0,Santa Monica,1785,9043,1953,1,1401,,Active,,,http://www.redfin.com/CA/Santa-Monica/1010-Centinela-Ave-90403/home/6762263,TheMLS,20-610904,N,Y,34.0436667,-118.4745577
MLS Listing,,Single Family Residential,823 Wilson Pl,Santa Monica,CA,90405,2795000,6,4.0,Santa Monica,3580,7378,1913,1,781,,Active,,,http://www.redfin.com/CA/Santa-Monica/823-Wilson-Pl-90405/home/6776257,TheMLS,20-608344,N,Y,34.0047841,-118.472094
MLS Listing,,Townhouse,1420 Princeton St #5,Santa Monica,CA,90404,1049000,2,3.0,Santa Monica,1300,7138,1991,1,807,350,Active,,,http://www.redfin.com/CA/Santa-Monica/1420-Princeton-St-90404/unit-5/home/6763735,TheMLS,20-609782,N,Y,34.03337,-118.4731523
MLS Listing,,Condo/Co-op,2411 3rd St Unit H,Santa Monica,CA,90405,799000,1,1.0,Santa Monica,693,15464,1922,1,1153,214,Active,,,http://www.redfin.com/CA/Santa-Monica/2411-3rd-St-90405/unit-H/home/6777387,TheMLS,20-609978,N,Y,34.0051195,-118.483451
